利润表分析,,,,
"2024年，本集团实现净利润3,362.82亿元，较上年增长1.15% ；归属于本行股东的净利润3,355.77亿元，较上年增",,,,
长0.88%。平均资产回报率0.85% ，加权平均净资产收益率10.69%。,,,,
,,,,
（人民币百万元，百分比除外）,2024年,2023年,变动(%),2022年
利息净收入,"589,882","617,233",(4.43),"643,669"
非利息收入,"160,269","152,503",5.09,"140,091"
其中 ：手续费及佣金净收入,"104,928","115,746",(9.35),"116,085"
营业收入,"750,151","769,736",(2.54),"783,760"
税金及附加,"(8,263)","(8,476)",(2.51),"(8,154)"
业务及管理费,"(214,312)","(210,088)",2.01,"(210,896)"
信用减值损失,"(120,700)","(136,774)",(11.75),"(154,535)"
其他资产减值损失,(298),(463),(35.64),(479)
其他业务成本,"(22,306)","(24,708)",(9.72),"(26,071)"
营业利润,"384,272","389,227",(1.27),"383,625"
营业外收支净额,105,150,(30.00),74
利润总额,"384,377","389,377",(1.28),"383,699"
所得税费用,"(48,095)","(56,917)",(15.50),"(58,836)"
净利润,"336,282","332,460",1.15,"324,863"
归属于本行股东的净利润,"335,577","332,653",0.88,"324,727"
